date,time_interval,quantity
2023-06-18,22,110.0
2023-06-18,23,60.0
2023-06-18,24,10.0
2023-06-19,0,28.0
2023-06-19,1,6.0
2023-06-19,2,3.0
2023-06-19,3,8.0
2023-06-19,4,9.0
2023-06-19,5,7.0
2023-06-19,6,43.0
2023-06-19,7,101.0
2023-06-19,8,230.0
2023-06-19,9,290.0
2023-06-19,10,316.0
2023-06-19,11,297.0
2023-06-19,12,286.0
2023-06-19,13,301.0
2023-06-19,14,218.0
2023-06-19,15,214.0
2023-06-19,16,205.0
2023-06-19,17,205.0
2023-06-19,18,222.0
2023-06-19,19,273.0
2023-06-19,20,262.0
2023-06-19,21,199.0
2023-06-19,22,141.0
2023-06-19,23,42.0
2023-06-19,24,1.0
2023-06-20,0,10.0
2023-06-20,1,15.0
2023-06-20,3,6.0
2023-06-20,4,7.0
2023-06-20,5,18.0
2023-06-20,6,39.0
2023-06-20,7,103.0
2023-06-20,8,197.0
2023-06-20,9,299.0
2023-06-20,10,293.0
2023-06-20,11,311.0
2023-06-20,12,272.0
2023-06-20,13,251.0
2023-06-20,14,237.0
2023-06-20,15,206.0
2023-06-20,16,215.0
2023-06-20,17,208.0
2023-06-20,18,273.0
2023-06-20,19,273.0
2023-06-20,20,225.0
2023-06-20,21,163.0
2023-06-20,22,110.0
2023-06-20,23,44.0
2023-06-20,24,5.0
2023-06-21,0,28.0
2023-06-21,1,6.0
2023-06-21,2,6.0
2023-06-21,3,7.0
2023-06-21,4,10.0
2023-06-21,5,16.0
2023-06-21,6,57.0
2023-06-21,7,108.0
2023-06-21,8,221.0
2023-06-21,9,326.0
2023-06-21,10,306.0
2023-06-21,11,317.0
2023-06-21,12,307.0
2023-06-21,13,262.0
2023-06-21,14,249.0
2023-06-21,15,209.0
2023-06-21,16,172.0
2023-06-21,17,195.0
2023-06-21,18,222.0
2023-06-21,19,250.0
2023-06-21,20,240.0
2023-06-21,21,204.0
2023-06-21,22,119.0
2023-06-21,23,37.0
2023-06-21,24,14.0
2023-06-22,0,27.0
2023-06-22,1,8.0
2023-06-22,2,6.0
2023-06-22,3,6.0
2023-06-22,4,9.0
2023-06-22,5,25.0
2023-06-22,6,53.0
2023-06-22,7,94.0
2023-06-22,8,216.0
2023-06-22,9,293.0
2023-06-22,10,312.0
2023-06-22,11,319.0
2023-06-22,12,284.0
2023-06-22,13,244.0
2023-06-22,14,189.0
2023-06-22,15,194.0
2023-06-22,16,198.0
2023-06-22,17,214.0
2023-06-22,18,255.0
2023-06-22,19,262.0
2023-06-22,20,280.0
2023-06-22,21,200.0
2023-06-22,22,110.0
2023-06-22,23,42.0
2023-06-22,24,6.0
2023-06-23,0,25.0
2023-06-23,1,11.0
2023-06-23,2,4.0
2023-06-23,3,1.0
2023-06-23,4,9.0
2023-06-23,5,15.0
2023-06-23,6,54.0
2023-06-23,7,86.0
2023-06-23,8,212.0
2023-06-23,9,344.0
2023-06-23,10,350.0
2023-06-23,11,415.0
2023-06-23,12,359.0
2023-06-23,13,312.0
2023-06-23,14,259.0
2023-06-23,15,225.0
2023-06-23,16,216.0
2023-06-23,17,205.0
2023-06-23,18,215.0
2023-06-23,19,239.0
2023-06-23,20,199.0
2023-06-23,21,201.0
2023-06-23,22,110.0
2023-06-23,23,50.0
2023-06-23,24,13.0
2023-06-24,0,26.0
2023-06-24,1,11.0
2023-06-24,2,4.0
2023-06-24,3,9.0
2023-06-24,4,7.0
2023-06-24,5,20.0
2023-06-24,6,36.0
2023-06-24,7,87.0
2023-06-24,8,177.0
2023-06-24,9,280.0
2023-06-24,10,298.0
2023-06-24,11,353.0
2023-06-24,12,331.0
2023-06-24,13,173.0
2023-06-24,14,225.0
2023-06-24,15,231.0
2023-06-24,16,257.0
2023-06-24,17,247.0
2023-06-24,18,231.0
2023-06-24,19,264.0
2023-06-24,20,76.0
2023-06-24,21,184.0
2023-06-24,22,100.0
2023-06-24,23,60.0
2023-06-24,24,5.0
2023-06-25,0,24.0
2023-06-25,1,10.0
2023-06-25,2,2.0
2023-06-25,3,2.0
2023-06-25,4,8.0
2023-06-25,5,13.0
2023-06-25,6,22.0
2023-06-25,7,64.0
2023-06-25,8,168.0
2023-06-25,9,249.0
2023-06-25,10,280.0
2023-06-25,11,310.0
2023-06-25,12,243.0
2023-06-25,13,247.0
2023-06-25,14,219.0
2023-06-25,15,212.0
2023-06-25,16,223.0
2023-06-25,17,201.0
2023-06-25,18,219.0
2023-06-25,19,232.0
2023-06-25,20,186.0
2023-06-25,21,177.0
2023-06-25,22,119.0
2023-06-25,23,40.0
2023-06-25,24,1.0
2023-06-26,0,20.0
2023-06-26,1,13.0
2023-06-26,2,6.0
2023-06-26,3,10.0
2023-06-26,4,7.0
2023-06-26,5,11.0
2023-06-26,6,30.0
2023-06-26,7,95.0
2023-06-26,8,199.0
2023-06-26,9,266.0
2023-06-26,10,304.0
2023-06-26,11,275.0
2023-06-26,12,329.0
2023-06-26,13,284.0
2023-06-26,14,229.0
2023-06-26,15,220.0
2023-06-26,16,220.0
2023-06-26,17,207.0
2023-06-26,18,239.0
2023-06-26,19,264.0
2023-06-26,20,212.0
2023-06-26,21,197.0
2023-06-26,22,126.0
2023-06-26,23,59.0
2023-06-26,24,5.0
2023-06-27,0,18.0
2023-06-27,1,11.0
2023-06-27,2,8.0
2023-06-27,3,4.0
2023-06-27,4,8.0
2023-06-27,5,18.0
2023-06-27,6,38.0
2023-06-27,7,80.0
2023-06-27,8,222.0
2023-06-27,9,239.0
2023-06-27,10,308.0
2023-06-27,11,292.0
2023-06-27,12,309.0
2023-06-27,13,244.0
2023-06-27,14,229.0
2023-06-27,15,219.0
2023-06-27,16,198.0
2023-06-27,17,190.0
2023-06-27,18,249.0
2023-06-27,19,265.0
